event,x_pos,y_pos,z_pos,trk_index,trk_nr,event_trk_nr
0,73.59040425229121,37.47092873366096,0.0,1,0.0,0.0_0.0
0,83.45473717705039,25.77915805590213,-8.5,1,0.0,0.0_0.0
0,93.30710216590744,14.088625239296968,-17.0,1,0.0,0.0_0.0
1,92.320560789424,127.57802044414082,0.0,1,0.0,1.0_0.0
1,141.06623707647026,149.80327337830963,-17.0,1,0.0,1.0_0.0
2,65.7244409391876,13.016140453680316,0.0,1,0.0,2.0_0.0
2,53.938528747800525,77.14082966517131,-8.5,1,0.0,2.0_0.0
2,42.16563625606592,141.2706932860591,-17.0,1,0.0,2.0_0.0
3,46.89504350732032,74.11187887608877,0.0,1,0.0,3.0_0.0
3,64.67932890822229,41.48432412698331,-8.5,1,0.0,3.0_0.0
3,82.47413955123808,8.858345647152412,-17.0,1,0.0,3.0_0.0
4,43.31875356889194,50.73242014587122,0.0,1,0.0,4.0_0.0
4,59.22725677007263,26.461133774098386,-8.5,1,0.0,4.0_0.0
4,75.1471653740551,2.176470812926231,-17.0,1,0.0,4.0_0.0
5,32.3621926787333,70.35821222438949,0.0,1,0.0,5.0_0.0
5,82.59802584558476,60.86432109841024,-8.5,1,0.0,5.0_0.0
5,132.83904051917278,51.36595459887586,-17.0,1,0.0,5.0_0.0
6,53.100659918642144,112.86889632446,0.0,1,0.0,6.0_0.0
6,62.2423101112731,95.86974032449852,-8.5,1,0.0,6.0_0.0
6,71.38383895943382,78.87550060303407,-17.0,1,0.0,6.0_0.0
7,23.974686676736574,9.309793823402472,0.0,1,0.0,7.0_0.0
7,147.76101494537338,112.53422000813283,-17.0,1,0.0,7.0_0.0
8,4.232483193927871,128.12310328408856,0.0,1,0.0,8.0_0.0
8,8.166948700386904,123.24507472630307,-8.5,1,0.0,8.0_0.0
8,12.076576550657036,118.38573492475464,-17.0,1,0.0,8.0_0.0
9,1.169633375937373,131.49072901529755,0.0,1,0.0,9.0_0.0
9,46.537467930144416,3.120733987848468,-17.0,1,0.0,9.0_0.0
10,22.69267539899303,35.74871233397455,0.0,1,0.0,10.0_0.0
10,46.73984745770239,24.329472262102303,-8.5,1,0.0,10.0_0.0
10,70.77367999586242,12.913584880983386,-17.0,1,0.0,10.0_0.0
11,24.299040846270813,6.284512324147835,0.0,1,0.0,11.0_0.0
11,65.84855763683383,62.32455247213344,-8.5,1,0.0,11.0_0.0
11,107.42703647764894,118.3683934171789,-17.0,1,0.0,11.0_0.0
12,31.64428715884152,114.15544929334992,0.0,1,0.0,12.0_0.0
12,21.04541343748637,72.72355982150928,-8.5,1,0.0,12.0_0.0
13,3.3857675609272486,21.68500281842283,0.0,1,0.0,13.0_0.0
13,113.14776874333104,44.8795012180103,-17.0,1,0.0,13.0_0.0
14,98.02761077979952,87.52171860564572,0.0,1,0.0,14.0_0.0
14,54.1125743240896,89.73411440927926,-8.5,1,0.0,14.0_0.0
14,10.182204853033156,91.96355869019555,-17.0,1,0.0,14.0_0.0
15,34.74622885126446,89.45000068838196,-8.5,1,0.0,15.0_0.0
15,56.22083239997579,147.8432337784588,-17.0,1,0.0,15.0_0.0
16,98.09629549605027,4.139852464641729,0.0,1,0.0,16.0_0.0
16,96.1294264182524,14.3074194318876,-8.5,1,0.0,16.0_0.0
16,94.17110032416834,24.49454621668473,-17.0,1,0.0,16.0_0.0
17,55.40671200238342,97.46110029768424,-17.0,1,-1.0,17.0_0.0
18,28.576703617465817,7.692835157172343,0.0,1,0.0,18.0_0.0
