event,x_pos,y_pos,z_pos,trk_index,trk_nr,event_trk_nr
0,60.52362444468939,121.56068287222988,0.0,1,-1.0,0.0_-1.0
0,97.04575388577692,129.34613712930712,-8.5,1,0.0,0.0_0.0
0,79.10651135322485,86.68440223146118,0.0,2,0.0,0.0_0.0
0,103.50726999370374,94.4009559922506,-8.5,2,-1.0,0.0_-1.0
1,97.6932508751014,26.22585082880088,0.0,1,0.0,1.0_0.0
1,83.85357996062709,61.67974483356607,-8.5,1,0.0,1.0_0.0
1,70.01371889069034,97.12680917176318,-17.0,1,0.0,1.0_0.0
1,133.44059645308724,71.53653315657328,0.0,2,1.0,1.0_1.0
1,67.43956950778127,38.71027442589187,-8.5,2,1.0,1.0_1.0
1,1.439026984230161,5.893854639771931,-17.0,2,1.0,1.0_1.0
2,125.01162822403649,50.96375150384494,0.0,1,0.0,2.0_0.0
2,120.8636892300709,78.12112002678798,-8.5,1,0.0,2.0_0.0
2,116.7047048509734,105.2847039893555,-17.0,1,0.0,2.0_0.0
2,127.3464281923282,92.71959770963257,0.0,2,1.0,2.0_1.0
2,118.50916957889328,112.36858505492916,-8.5,2,1.0,2.0_1.0
2,109.67198118291506,132.0292217683156,-17.0,2,1.0,2.0_1.0
3,136.53596608209247,60.46689205002558,0.0,1,0.0,3.0_0.0
3,133.4576951406683,6.488172091254294,-17.0,1,-1.0,3.0_-1.0
3,46.17195939688982,26.54815300344885,-17.0,2,0.0,3.0_0.0
4,118.42776114101962,61.195760431898925,-8.5,1,1.0,4.0_1.0
4,109.76657213771054,19.997477292273867,-17.0,1,0.0,4.0_0.0
4,41.78835023847976,16.575212639018606,0.0,2,-1.0,4.0_-1.0
4,86.33273661420569,64.79151548171276,-8.5,2,0.0,4.0_0.0
4,130.8801136042866,113.00826874598997,-17.0,2,1.0,4.0_1.0
5,107.89512166464122,64.84347804775587,0.0,1,0.0,5.0_0.0
5,74.77367739170022,40.31597682163552,-8.5,1,0.0,5.0_0.0
5,41.63673540013329,15.791208808971392,-17.0,1,0.0,5.0_0.0
5,140.20556329064726,123.53209887393028,0.0,2,-1.0,5.0_-1.0
5,90.46562104512635,147.5278980338312,-17.0,2,-1.0,5.0_-1.0
6,0.862431468456307,131.81278597546884,0.0,1,1.0,6.0_1.0
6,35.68548378960864,92.982014901808,-8.5,1,1.0,6.0_1.0
6,70.51966841648799,54.15770697194727,-17.0,1,0.0,6.0_0.0
6,73.39898460556411,19.87631794321874,0.0,2,0.0,6.0_0.0
6,41.052308373600525,61.81244236679833,-8.5,2,-1.0,6.0_-1.0
7,7.78849700070693,142.82965044613906,0.0,1,0.0,7.0_0.0
7,74.87241544154386,131.63505524796386,-8.5,1,0.0,7.0_0.0
7,141.96643612726007,120.4541874088918,-17.0,1,0.0,7.0_0.0
7,53.336949807049024,29.86049358048293,0.0,2,-1.0,7.0_-1.0
8,117.1798469767236,17.550833979386418,0.0,1,1.0,8.0_1.0
8,83.54186607484138,54.12528230708698,-8.5,1,1.0,8.0_1.0
8,49.89138175387354,90.68121944937936,-17.0,1,1.0,8.0_1.0
8,120.31309519847552,29.80584948022344,0.0,2,0.0,8.0_0.0
8,68.19745815186793,87.15097692085999,-8.5,2,0.0,8.0_0.0
8,16.089364650009838,144.48406045606427,-17.0,2,0.0,8.0_0.0
9,19.32431151796292,114.69151645892636,0.0,1,0.0,9.0_0.0
9,65.14479334007319,93.9573295142282,-8.5,1,0.0,9.0_0.0
9,110.97635999681404,73.22785024740148,-17.0,1,0.0,9.0_0.0
9,32.39984412303123,96.15145438237104,-17.0,2,-1.0,9.0_-1.0
10,6.301735318503832,144.44304241519933,0.0,1,0.0,10.0_0.0
10,53.269862237355206,128.77760990897195,-8.5,1,0.0,10.0_0.0
10,100.231295240823,113.0955450611208,-17.0,1,0.0,10.0_0.0
10,145.6689307098739,122.05998056544226,0.0,2,1.0,10.0_1.0
10,99.7377122143416,86.86031160122805,-8.5,2,1.0,10.0_1.0
10,53.78501328164496,51.6796282648615,-17.0,2,1.0,10.0_1.0
11,133.14430528158712,29.59358902990512,0.0,1,1.0,11.0_1.0
11,89.77031918688388,28.599792707782058,-8.5,1,1.0,11.0_1.0
11,46.383193101090114,27.597768974004097,-17.0,1,1.0,11.0_1.0
11,10.817980705096376,60.27012966129907,0.0,2,0.0,11.0_0.0
11,22.475844789986684,37.156901015980495,-8.5,2,0.0,11.0_0.0
11,34.13539136687783,14.065174722155508,-17.0,2,0.0,11.0_0.0
12,149.62912513458596,128.6083980663515,0.0,1,0.0,12.0_0.0
12,134.0841433449337,76.57537620247398,-17.0,1,1.0,12.0_1.0
12,20.38155316622849,144.0991295873385,0.0,2,1.0,12.0_1.0
12,58.40411059666634,128.88186537237436,-8.5,2,0.0,12.0_0.0
12,96.43182766637752,113.64938373486684,-17.0,2,-1.0,12.0_-1.0
13,93.26115702324576,18.16372514714917,0.0,1,0.0,13.0_0.0
13,90.62258901369503,47.64576777872488,-8.5,1,0.0,13.0_0.0
13,87.978432061424,77.1290565303708,-17.0,1,0.0,13.0_0.0
13,57.324796314926665,126.22150048875592,0.0,2,-1.0,13.0_-1.0
13,93.57087528209736,13.724220032953028,-17.0,2,-1.0,13.0_-1.0
14,138.9141252477874,64.25775985601769,0.0,1,0.0,14.0_0.0
14,110.30866039565846,91.72583472047349,-8.5,1,-1.0,14.0_-1.0
14,81.69885244384658,119.19902247477889,-17.0,1,1.0,14.0_1.0
14,94.22664850004983,58.27919997648066,-8.5,2,1.0,14.0_1.0
14,146.12382777697798,13.38594285891455,-17.0,2,0.0,14.0_0.0
15,87.45998991010728,116.11096846806882,0.0,1,1.0,15.0_1.0
15,55.45110173359001,63.84567131827863,-8.5,1,1.0,15.0_1.0
15,23.436898396182,11.561182563489403,-17.0,1,1.0,15.0_1.0
15,106.37122297236596,57.42099540420573,0.0,2,0.0,15.0_0.0
15,64.29509905518199,43.56684211833864,-8.5,2,0.0,15.0_0.0
15,22.20456988339971,29.72534391395417,-17.0,2,0.0,15.0_0.0
16,81.97817854341936,62.86365846212652,0.0,1,0.0,16.0_0.0
16,84.59192623008568,42.39580227615561,-8.5,1,1.0,16.0_1.0
16,87.21070102259023,21.93766763859428,-17.0,1,1.0,16.0_1.0
16,80.08190870177252,140.3436790689913,-8.5,2,-1.0,16.0_-1.0
16,76.83064933714292,135.1118831147539,-17.0,2,0.0,16.0_0.0
17,65.45243955289546,129.01894431895354,0.0,1,0.0,17.0_0.0
17,106.20028228814029,86.55228067909462,-8.5,1,-1.0,17.0_-1.0
17,123.15278871187466,118.75139519173244,0.0,2,-1.0,17.0_-1.0
17,54.5853924168165,145.3110154391218,-17.0,2,0.0,17.0_0.0
18,41.14440044672994,43.59188541867567,-8.5,1,-1.0,18.0_-1.0
18,61.95104162534754,20.49615649871467,-17.0,1,-1.0,18.0_-1.0
18,60.91269929302723,113.64651532632396,0.0,2,0.0,18.0_0.0
18,47.8481193074021,111.95663226445387,-8.5,2,0.0,18.0_0.0
18,34.80090503329484,110.25612670801657,-17.0,2,0.0,18.0_0.0
19,100.10137924361132,110.40200385740118,-8.5,1,-1.0,19.0_-1.0
19,132.918754009284,116.69944503362896,-17.0,1,-1.0,19.0_-1.0
19,130.46354057282034,21.027990331541908,0.0,2,0.0,19.0_0.0
19,118.14019658162876,57.434904255887936,-8.5,2,0.0,19.0_0.0
19,105.8102836720016,93.8361798741172,-17.0,2,0.0,19.0_0.0
20,117.67998590730178,26.88419490147013,0.0,1,1.0,20.0_1.0
20,102.86366214490916,20.710379986565616,-8.5,1,1.0,20.0_1.0
20,88.0623115650572,14.544128032588471,-17.0,1,1.0,20.0_1.0
20,149.12679848226057,78.92203907417908,0.0,2,0.0,20.0_0.0
20,110.76833216364815,98.18973311603897,-8.5,2,0.0,20.0_0.0
20,72.41709948608631,117.44992350701582,-17.0,2,0.0,20.0_0.0
21,72.36957195816977,115.5539186042936,0.0,1,-1.0,21.0_-1.0
21,45.4928225351215,116.8142990160492,-8.5,1,1.0,21.0_1.0
21,18.630565150197977,118.05420534205692,-17.0,1,1.0,21.0_1.0
21,33.969427426977155,37.68417116095453,0.0,2,0.0,21.0_0.0
21,34.7743919799001,36.29890103627388,-8.5,2,0.0,21.0_0.0
22,133.12335594525808,11.59227599790944,0.0,1,1.0,22.0_1.0
22,88.1295134345614,64.93620598054213,-8.5,1,1.0,22.0_1.0
22,43.14180681297552,118.29470538574034,-17.0,1,-1.0,22.0_-1.0
22,80.34432352490961,91.96307307223776,0.0,2,0.0,22.0_0.0
22,60.68318794430152,112.99620132822623,-8.5,2,0.0,22.0_0.0
22,41.01789117676384,134.0462071663654,-17.0,2,0.0,22.0_0.0
23,78.28972624003379,2.287303938144906,0.0,1,0.0,23.0_0.0
23,82.2357378653668,49.55047715342442,-8.5,1,0.0,23.0_0.0
23,86.18152143694877,96.81698774288894,-17.0,1,0.0,23.0_0.0
23,40.754169853415,10.81072491698246,-17.0,2,-1.0,23.0_-1.0
24,73.27072360616982,87.1741652925183,-8.5,1,0.0,24.0_0.0
24,142.51136039259072,108.6116776440151,-17.0,1,-1.0,24.0_-1.0
24,90.19825467399674,77.85524573170137,0.0,2,0.0,24.0_0.0
24,146.86732270505993,129.95692204780536,-17.0,2,-1.0,24.0_-1.0
25,5.79241813062851,89.31543983322038,0.0,1,0.0,25.0_0.0
25,50.53531442242928,45.1670480442349,-17.0,1,1.0,25.0_1.0
25,121.21844508325098,36.903106223074616,0.0,2,1.0,25.0_1.0
25,67.21204490403952,93.1330521158212,-8.5,2,0.0,25.0_0.0
25,13.20007890377178,149.358433390132,-17.0,2,-1.0,25.0_-1.0
26,119.9713544749182,13.428350270615798,0.0,1,-1.0,26.0_0.0
26,68.96328232595775,50.45488546273164,-17.0,1,-1.0,26.0_-1.0
26,118.82020255354207,0.3978672008160375,0.0,2,-1.0,26.0_0.0
26,112.57854689851897,24.955974325616744,-8.5,2,1.0,26.0_1.0
26,106.31916799001456,49.52745052032646,-17.0,2,1.0,26.0_1.0
27,11.329550173388744,120.7095986410709,0.0,1,0.0,27.0_0.0
27,79.71197373508998,98.79499787702288,-8.5,1,0.0,27.0_0.0
27,148.09785016831466,76.88610939566735,-17.0,1,0.0,27.0_0.0
27,140.52844266194853,121.27749507483291,0.0,2,1.0,27.0_1.0
27,99.92290886569305,96.78132650620896,-8.5,2,1.0,27.0_1.0
27,59.32053186946428,72.28048378151895,-17.0,2,1.0,27.0_1.0
28,33.989091152992664,4.522910933084466,0.0,1,1.0,28.0_1.0
28,70.39376863586702,39.67225383885415,-8.5,1,1.0,28.0_1.0
28,106.77986616864054,74.81389507307135,-17.0,1,1.0,28.0_1.0
28,82.73430258359983,142.85437326554947,0.0,2,0.0,28.0_0.0
28,97.58055722615292,82.10719532123333,-8.5,2,0.0,28.0_0.0
28,112.43787900758892,21.3599655783649,-17.0,2,0.0,28.0_0.0
29,109.99617894486788,91.51687361600298,0.0,1,0.0,29.0_0.0
29,104.53966139765322,52.91664171971703,-8.5,1,0.0,29.0_0.0
29,99.10032733506094,14.328578260134494,-17.0,1,0.0,29.0_0.0
29,50.3590469953749,108.96568032306064,0.0,2,-1.0,29.0_-1.0
29,97.8974282867472,87.81793152353013,-8.5,2,-1.0,29.0_-1.0
30,96.33330857481242,147.618958088771,0.0,1,1.0,30.0_1.0
30,84.79801002365518,133.92232267429566,-8.5,1,1.0,30.0_1.0
30,73.25697973247753,120.2341209580173,-17.0,1,1.0,30.0_1.0
30,107.5741564275308,65.03611679040591,0.0,2,0.0,30.0_0.0
30,82.06816278396889,76.90296672979508,-8.5,2,0.0,30.0_0.0
30,56.56715153862516,88.79037167210741,-17.0,2,0.0,30.0_0.0
31,93.62630451450173,126.24501517233256,0.0,1,0.0,31.0_0.0
31,47.07587619703135,132.1064952428008,-8.5,1,-1.0,31.0_-1.0
31,108.38886160644265,100.0187292193223,0.0,2,-1.0,31.0_-1.0
31,84.94936951008432,70.37638371582868,-8.5,2,0.0,31.0_0.0
32,123.51622227148788,98.13249758750425,0.0,1,-1.0,32.0_-1.0
32,67.7860285986682,117.59959343618122,-8.5,1,-1.0,32.0_-1.0
32,114.45613987405464,62.676324202036334,0.0,2,0.0,32.0_0.0
32,131.33845306674067,38.27330013366558,-8.5,2,0.0,32.0_0.0
32,148.22849897992597,13.887432746797872,-17.0,2,0.0,32.0_0.0
33,88.20846419140388,76.80196915681668,0.0,1,1.0,33.0_1.0
33,82.18015971601923,110.55492481839602,-8.5,1,1.0,33.0_1.0
33,76.14818259075187,144.32138716150533,-17.0,1,1.0,33.0_1.0
33,54.691482985887504,29.2438472282018,0.0,2,0.0,33.0_0.0
33,71.89527541924205,46.03723240362462,-8.5,2,0.0,33.0_0.0
33,89.1154490128316,62.84039267946968,-17.0,2,0.0,33.0_0.0
34,43.14361831786925,83.59409647941777,0.0,1,0.0,34.0_0.0
34,69.97261924084259,53.71654573271036,-17.0,1,-1.0,34.0_-1.0
34,46.34799807691539,112.3235890400465,0.0,2,1.0,34.0_1.0
34,67.79465106638048,87.6782714578545,-8.5,2,0.0,34.0_0.0
34,89.21895131908438,63.01271060923184,-17.0,2,1.0,34.0_1.0
35,67.4017319173555,27.18944322301975,0.0,1,-1.0,35.0_-1.0
35,70.47828887988392,7.95588980614005,0.0,2,0.0,35.0_0.0
35,91.1047186965348,49.622079240820085,-8.5,2,0.0,35.0_0.0
35,111.73706658416266,91.28953408750051,-17.0,2,0.0,35.0_0.0
36,36.73425189010667,149.1948865537644,0.0,1,0.0,36.0_0.0
36,56.386219466813785,81.78176887986635,-8.5,1,0.0,36.0_0.0
36,76.03376485611147,14.371267578141984,-17.0,1,0.0,36.0_0.0
36,8.079254304816681,75.33265533121563,0.0,2,-1.0,36.0_-1.0
36,83.03509851770139,57.19639537390621,-17.0,2,-1.0,36.0_-1.0
37,63.70957864098529,45.53834106068786,0.0,1,0.0,37.0_0.0
37,35.147294063586656,39.20605892112847,-8.5,1,1.0,37.0_1.0
37,60.95491141979874,108.00564268067308,0.0,2,-1.0,37.0_-1.0
37,60.47597629406365,65.14552502079394,-8.5,2,0.0,37.0_0.0
37,59.99388839683213,22.26942276108441,-17.0,2,1.0,37.0_1.0
38,8.29075434055338,131.89653267363866,0.0,1,0.0,38.0_0.0
38,56.18471598215802,127.7366420555558,-8.5,1,0.0,38.0_0.0
38,104.0621054162826,123.5603628277912,-17.0,1,0.0,38.0_0.0
